Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,AccelLPF x,AccelLPF y,AccelLPF z,GyroLPF x,GyroLPF y,GyroLPF z
-0.087432325,7.2554836,-2.2514563,-5.65E-04,0.0134799285,-0.018652648,-0.3425186,8.444549,5.268735,-0.012174072,-0.008855353,-0.00896625
-0.52315825,8.008428,4.5058875,0.034748748,0.07072668,0.03929223,-0.3876785,8.335518,5.078023,-4.43E-04,0.011040154,0.0030983705
-0.6356809,10.971125,1.9322314,0.10520182,-0.032247655,-0.08037906,-0.4496791,8.994419,4.291575,0.02596793,2.18E-04,-0.017770987
4.043585,20.302124,-1.594276,-0.05903353,-0.007405822,-0.06327486,0.6736368,11.821345,2.8201122,0.004717564,-0.0016878045,-0.029146954
0.25851494,22.276058,-11.598017,0.07070248,0.11395263,-0.12761928,0.56985635,14.435023,-0.78442,0.021213792,0.027222304,-0.053765036
-2.0865047,0.8177519,-6.559637,-0.36510584,-0.031549525,-0.18178262,-0.09423393,11.030705,-2.2282243,-0.07536612,0.012529347,-0.08576943
-3.282357,2.1524625,11.524188,-0.078290366,0.02808252,0.103753015,-0.8912647,8.811145,1.2098789,-0.076097175,0.016417641,-0.03838882
1.1922135,12.6721325,7.4386587,-0.044140078,-0.18985076,0.030216541,-0.37039512,9.776392,2.7670739,-0.0681079,-0.03514946,-0.021237478
-1.2868758,13.168906,0.7471528,0.1880467,-0.053307943,0.1635014,-0.5995153,10.62452,2.2620935,-0.004069254,-0.03968908,0.024947241
-1.144427,14.467707,0.78665507,-0.08149008,0.111974604,0.09735348,-0.7357432,11.585317,1.8932339,-0.02342446,-0.0017731562,0.0430488
2.4311595,15.874239,9.6125,-0.11523309,0.12221384,-0.030753586,0.05598247,12.657547,3.8230505,-0.046376616,0.029223593,0.024598204
-1.3766544,29.096846,-8.269022,-0.0679929,0.1826022,-0.07409588,-0.30217674,16.767372,0.8000324,-0.051780686,0.06756824,-7.53E-05
-1.851883,-6.232869,15.126109,-0.37674135,-0.03370209,-0.05530454,-0.6896033,11.017312,4.3815517,-0.13302085,0.04225066,-0.013882623
-0.6763806,21.123299,5.1630673,0.28613403,0.025813594,0.026609521,-0.68629766,13.543809,4.5769305,-0.028232127,0.038141392,-0.0037595872
-1.1791413,5.020592,1.6581072,0.015550144,-0.018401392,0.027482186,-0.80950856,11.413005,3.8472247,-0.01728656,0.024005696,0.004050856
-1.3479252,8.459715,21.246622,0.088155754,-0.0806514,0.0096216565,-0.9441127,10.674683,8.197074,0.009074019,-0.0021585785,0.0054435562
1.3155096,6.800605,4.255704,0.010139624,-0.025964469,0.0038039098,-0.37920713,9.706163,7.2117314,0.00934042,-0.008110051,0.005033645
1.8865023,4.3334856,3.374676,0.066106476,-0.018808633,0.08135463,0.18722022,8.362994,6.2524676,0.023531934,-0.010784697,0.024113894
-1.5969114,5.359358,3.7230172,-0.064153135,0.016854241,0.021955322,-0.2588127,7.6120853,5.620105,0.0016106665,-0.0038749622,0.023574252
-0.8116472,8.623711,-1.2327671,0.038006682,-0.026139013,0.0070036715,-0.39702132,7.8649917,3.9068868,0.01070967,-0.009440975,0.019431606
-0.8942436,7.199222,5.705331,0.015259253,-0.023637377,-0.003119228,-0.2235609,1.7998055,1.4263327,0.0038148132,-0.005909344,-7.80E-04
