Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,AccelLPF x,AccelLPF y,AccelLPF z,GyroLPF x,GyroLPF y,GyroLPF z
0.7229701,6.198489,8.0311985,0.03469057,0.0015535243,-0.2308263,0.31629273,3.7561011,4.4479923,0.02799673,0.010001105,-0.08775706
-0.32205403,6.350514,9.168394,-0.0051029003,0.03576196,0.053662103,0.15670604,4.404704,5.628093,0.019721823,0.01644132,-0.05240227
-0.49921727,9.553818,8.815266,0.040624678,-0.09868648,-0.05710803,-0.0072747916,5.6919823,6.4248857,0.024947537,-0.012340631,-0.05357871
1.6267425,16.88814,5.1271567,-0.031980958,-0.013165401,0.17612596,0.4012295,8.491022,6.1004534,0.010715414,-0.012546824,0.0038474575
-1.899765,6.9227037,5.2384815,-0.01749474,0.098710105,0.11951913,-0.1740191,8.098943,5.88496,0.0036628754,0.0152674075,0.032765374
-0.27536902,6.856866,-2.4477723,-0.0020776736,-0.034982,-0.11103865,-0.19935659,7.7884235,3.8017771,0.002227738,0.0027050562,-0.0031856298
0.31357926,12.921119,6.3445554,-0.084806204,0.06554889,0.19532456,-0.07112262,9.071597,4.437472,-0.019530747,0.018416014,0.046441916
-2.045805,5.8010683,5.583232,0.045104343,0.05565869,-5.01E-04,-0.5647932,8.253965,4.723912,-0.0033719745,0.027726684,0.034706127
-0.9959928,6.9250984,7.593078,0.053249225,-0.014387142,-0.005097265,-0.6725931,7.9217486,5.441203,0.010783326,0.017198227,0.024755279
-1.7166164,-0.76355034,2.7103133,-0.036169734,0.009814746,0.05831631,-0.93359894,5.750424,4.7584805,-9.55E-04,0.015352357,0.033145536
-1.8865976,3.2752945,-1.494921,0.03736676,0.10924026,0.044528216,-1.1718487,5.1316414,3.19513,0.008625485,0.038824335,0.035991207
0.6762852,10.805932,20.286589,-0.07788306,-0.013456292,-0.031684425,-0.7098152,6.550214,7.4679947,-0.013001651,0.025754178,0.019072298
-1.2808903,3.2525504,9.073828,0.103398286,0.03256221,0.035336163,-0.852584,5.725798,7.869453,0.016098334,0.027456187,0.023138264
0.7086056,17.211342,5.128353,-0.1780649,0.011269179,-0.0083552115,-0.4622866,8.597184,7.184178,-0.032442473,0.023409434,0.015264895
2.8178065,12.131065,2.485268,0.18379971,0.030002382,-0.01859447,0.3577367,9.480655,6.0094504,0.021618076,0.02505767,0.0068000536
-0.2526251,12.749941,16.72896,0.07081884,-0.024219144,-0.034709655,0.20514625,10.2979765,8.689327,0.03391827,0.012738466,-0.003577374
0.22619465,8.245443,11.6259365,-0.086144306,-0.061685503,-0.00963512,0.21040836,9.784843,9.423479,0.0039026253,-0.005867526,-0.0050918106
-1.3634869,6.950236,14.170864,-0.108193606,0.026744425,-0.040992837,-0.18306544,9.076192,10.610325,-0.024121433,0.0022854619,-0.014067067
0.28245604,8.914594,12.858898,0.0055435845,0.006149561,-0.058213413,-0.06668507,9.035792,11.172468,-0.01670518,0.0032514867,-0.025103653
-2.4061167,-6.866108,12.090393,0.09886046,-0.10496962,-0.03267344,-0.651543,5.060317,11.401949,0.012186229,-0.02380379,-0.0269961
-2.7353053,-4.701843,6.2440033,-0.04326742,-0.105725944,0.026784055,-1.1724836,2.6197772,10.112463,-0.0016771834,-0.04428433,-0.013551062
0.38420516,7.0208626,2.9329646,0.017644513,-0.060172897,0.16396683,-0.78331137,3.7200484,8.317589,0.0031532408,-0.04825647,0.03082841
-3.983828,-9.919781,6.439122,-0.054088447,-0.007463999,0.021140832,-1.5834405,0.31009102,7.847972,-0.011157181,-0.038058355,0.028406516
-0.4920349,3.581739,13.568748,-0.1674184,0.045244895,0.055058364,-1.3105891,1.128003,9.278166,-0.050222486,-0.017232543,0.035069477
-0.069476604,2.1069741,17.59682,-0.04146391,-0.076171726,-0.23076816,-1.0003109,1.3727458,11.35783,-0.048032843,-0.03196734,-0.031389933
1.8529848,5.36654,16.562569,-0.04227839,-0.06855048,0.08880136,-0.28698695,2.3711944,12.659015,-0.04659423,-0.041113123,-0.0013421103
-1.3993984,10.102067,3.906166,0.12952004,4.48E-04,0.31109792,-0.5650898,4.3039126,10.470802,-0.0025656596,-0.030722804,0.0767679
0.6439649,5.599964,10.846659,-0.08631883,-0.09967549,-0.13087721,-0.26282614,4.6279254,10.564766,-0.023503952,-0.047960974,0.02485662
1.299948,7.469755,6.530098,0.044697125,-0.043650467,0.13196915,0.1278674,5.3383827,9.556099,-0.0064536817,-0.04688335,0.05163475
-0.061097205,5.548491,7.5272403,0.11276488,-0.05569324,0.0088653555,0.08062625,5.3909097,9.048884,0.023350958,-0.049085822,0.0409424
0.9516066,7.485317,6.6162853,0.0062999087,-0.012001857,0.10829086,0.29837132,5.9145117,8.440735,0.019088196,-0.03981483,0.057779513
-0.112570405,6.425928,6.7587347,0.0059508407,-0.021950223,0.0033384822,0.19563589,6.042366,8.020235,0.015803857,-0.035348676,0.044169255
0.4572252,7.1657047,7.092711,-0.013945898,0.0039388034,0.0024658209,0.2610332,6.3232007,7.788354,0.008366418,-0.025526807,0.033743396
1.0174444,7.0627584,7.804956,-0.006964585,0.016214278,-0.006086286,0.450136,6.50809,7.7925043,0.004533667,-0.015091536,0.023785975
0.50750124,7.7175446,6.6701527,0.021833323,-0.033003964,0.07297706,0.12687531,1.9293861,1.6675382,0.0054583307,-0.008250991,0.018244265
-1.1133037,9.073801,5.2863636,0.015841031,0.009989264,0.15349486,-0.18316942,3.7154899,2.5722446,0.008054006,-0.0036909273,0.052056916
-0.4333796,10.451605,4.684248,-0.0031248624,0.11348722,0.10625464,-0.24572197,5.3995185,3.1002455,0.005259289,0.025603611,0.06560635
-1.2354026,6.070404,4.947599,0.05028217,-0.11701241,-0.18428425,-0.49314213,5.5672398,3.5620837,0.01651501,-0.010050394,0.0031336993
0.16275096,9.789637,5.4527535,-0.027792163,0.067352384,0.2655449,-0.32916886,6.622839,4.034751,0.005438216,0.009300301,0.06873649
1.9750838,4.4639645,-0.30505383,-0.11185879,0.071482986,-0.122616015,0.2468943,6.0831203,2.9497998,-0.023886036,0.024845973,0.020898364
-2.3654172,14.047541,7.1166525,9.48E-04,0.04204513,-0.17229967,-0.4061836,8.074225,3.991513,-0.017677635,0.029145762,-0.027401142
-2.3235207,5.43118,14.5623,-0.020810865,-0.082338534,-9.40E-05,-0.88551784,7.413464,6.6342096,-0.018460942,0.0012746882,-0.020574355
-1.314408,17.17184,1.1409818,-0.056182835,0.046582986,0.06617029,-0.9927404,9.853058,5.2609024,-0.027891416,0.012601763,0.0011118054
0.1854949,12.562003,0.35452038,0.04399897,0.03471477,-0.045356162,-0.69818157,10.530294,4.034307,-0.00991882,0.018130016,-0.010505186
-0.32205397,16.549374,-6.315439,-0.123843364,0.017377827,-0.2688163,-0.6041497,12.035065,1.4468703,-0.038399957,0.017941969,-0.07508296
0.6631177,9.261738,16.719383,0.030210905,-0.2526244,0.16699207,-0.28733283,11.341733,5.2649984,-0.021247242,-0.049699627,-0.014564201
-2.8382516,21.319614,24.188969,-0.09289289,-0.02800069,0.24384467,-0.92506254,13.836204,9.995991,-0.039158653,-0.044274893,0.050038017
-1.0618305,7.842038,-2.5004425,-0.18301,0.089634396,-0.021154277,-0.9592545,12.337662,6.8718824,-0.07512149,-0.010797571,0.032239944
