Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,AccelLPF x,AccelLPF y,AccelLPF z,GyroLPF x,GyroLPF y,GyroLPF z
-0.61533105,6.062025,10.243345,-0.017680809,0.021548012,0.09232113,0.29262227,5.9532185,7.8659825,0.016769342,0.022025254,0.031690944
-0.19157557,6.296647,8.907438,-0.019146884,0.0238693,-0.03461656,0.1715728,6.039076,8.126347,0.007790286,0.022486266,0.015114069
-0.57941955,0.83570766,11.720504,0.007853334,-0.021334693,-0.017512344,-0.016175285,4.7382336,9.024886,0.007806048,0.011531026,0.006957466
1.6997623,5.286337,5.7352576,-0.021468174,0.019837588,0.024392974,0.41280913,4.8752594,8.202479,4.87E-04,0.013607667,0.011316342
-0.3663448,9.07859,7.9809217,5.90E-03,0.051969074,0.028791204,0.21802065,5.926092,8.14709,0.0018402615,0.02319802,0.015685057
0.56256557,9.408976,6.448699,-0.012549545,0.00700943,-0.059784185,0.30415687,6.796813,7.722492,-0.0017571901,0.019150872,-0.0031822529
1.5656928,6.255947,11.943155,-0.030142456,-0.021090347,-0.038403917,0.6195408,6.6615963,8.777658,-0.008853506,0.009090567,-0.011987669
-0.99359864,3.102919,9.213882,-4.11E-02,-0.055420943,0.04699497,0.21625596,5.771927,8.886715,-0.016924635,-0.00703731,0.0027579907
0.6032652,9.555016,4.791982,0.04157307,-0.01302693,0.1312943,0.31300828,6.717699,7.863032,-0.0023002084,-0.008534715,0.034892067
1.0150502,5.5185647,9.319222,-0.05750919,-0.005330035,-0.0795762,0.48851874,6.4179153,8.227079,-0.016102454,-0.007733545,0.006275
1.1419374,5.2001495,9.2785225,-0.06508391,-0.015714737,0.11015838,0.6518734,6.113474,8.489941,-0.028347818,-0.009728843,0.032245845
1.8553789,0.45265186,13.652542,0.04658216,0.05429036,0.09219896,0.9527498,4.6982684,9.780591,-0.009615324,0.0062759575,0.047234125
0.9097099,4.3526382,5.613158,-0.027576815,0.029977944,-0.069313675,0.9419898,4.6118608,8.738733,-0.014105697,1.22E-02,0.018097175
0.0741694,12.825355,6.4175754,-0.022079036,-0.03465154,-0.026186626,0.7250347,6.665234,8.158443,-0.016099032,4.88E-04,0.0070262253
0.42610192,8.827209,5.175038,-0.05457703,-0.106977925,0.050415814,0.6503015,7.205728,7.412592,-0.025718533,-0.026378326,0.017873622
0.5889006,2.5522766,7.791788,-0.002653536,-0.068859965,0.16794619,0.6349513,6.042365,7.507391,-0.019952282,-0.036998734,0.055391766
