Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,AccelLPF x,AccelLPF y,AccelLPF z,GyroLPF x,GyroLPF y,GyroLPF z
2.4610858,11.352983,12.220871,-0.057008944,0.024300955,1.4916668,-0.2463283,8.4634075,7.2601967,0.017895706,-0.041354552,0.22822319
3.334932,9.045073,5.3809304,0.19466731,0.881222,1.2192211,0.6489868,8.608824,6.79038,0.06208861,0.18928958,0.47597265
-3.8377879,5.8800735,15.505574,-0.05041162,0.11409808,-2.126363,-0.4727068,7.926636,8.969179,0.033963554,0.17049171,-0.17461127
-7.828751,3.0167317,9.3288,1.2933687,-1.1341428,-1.3534969,-2.311718,6.69916,9.059084,0.34881485,-0.1556669,-0.4693327
-0.65363663,4.82667,9.575392,0.14750853,-0.540871,1.9975849,-1.8971977,6.2310376,9.188161,0.29848826,-0.25196794,0.14739668
3.1817095,7.7570467,7.25551,0.15935935,0.25985038,1.4225168,-0.62747097,6.61254,8.704998,0.26370603,-0.124013364,0.46617672
0.8953453,5.990202,7.686448,0.52942115,0.5531876,1.1324782,-0.24676692,6.4569554,8.45036,0.3301348,0.04528688,0.63275206
4.9054604,11.142303,5.038574,0.6695535,1.045056,0.38294724,1.0412899,7.6282926,7.597414,0.41498947,0.29522914,0.5703009
4.0818906,4.237722,7.207628,0.49802274,1.0435898,-0.34630305,1.8014401,6.78065,7.4999676,0.4357478,0.4823193,0.3411499
-0.92177576,2.9473028,8.316096,-0.042959064,0.3886207,-1.5784172,1.1206362,5.8223133,7.7039995,0.3160711,0.45889464,-0.13874188
3.1266453,5.01341,22.881794,0.13431388,-0.18876867,-1.7213596,1.6221385,5.6200876,11.498448,0.2706318,0.29697883,-0.5343963
-3.9287636,7.848023,5.752016,0.8397405,-0.7363478,-0.72992605,0.23441291,6.1770716,10.06184,0.41290897,0.038647175,-0.5832787
-0.14369358,8.621317,9.558633,0.6545263,-0.8695163,0.12675062,0.13988629,6.7881327,9.936038,0.4733133,-0.1883937,-0.40577137
-0.6943363,3.9193068,7.94501,0.10413717,-0.60513395,1.1059667,-0.06866935,6.070926,9.438281,0.38101926,-0.29257876,-0.02783686
2.5017855,6.8257422,7.2938156,-0.06751582,-0.19072342,1.6595324,0.57394433,6.25963,8.902164,0.2688855,-0.26711494,0.39400548
-0.4788674,2.0973978,8.984049,0.57218176,0.71494466,0.96803355,0.3107414,5.2190723,8.922636,0.34470958,-0.021600038,0.5375125
3.2463503,6.4522634,8.445377,0.6425532,0.8680274,0.28691936,1.0446436,5.52737,8.803322,0.4191705,0.20080683,0.47486418
0.7971872,7.824082,2.871915,0.21384846,0.8462806,-0.9475161,0.9827795,6.101548,7.32047,0.36784,0.36217526,0.11926913
-2.9759123,3.7636905,4.7464943,0.049892377,-0.0865099,-1.5974764,-0.006893456,5.5170836,6.676976,0.2883531,0.25000396,-0.30991724
-1.6292318,10.531807,15.630069,0.43980056,-0.51040924,-0.97357965,-0.41247803,6.7707644,8.915249,0.32621497,0.05990067,-0.47583285
-9.952315,6.80659,-1.6397642,0.9185245,-1.0163217,-0.2750995,-2.7974372,6.779721,6.276496,0.47429234,-0.2091549,-0.42564952
